,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,415,-3,-23,-5,4,-3,-17,-3,8,-5
2,292,-3,16,-5,-3,-3,26,-3,-30,-5
3,296,-3,17,-5,7,-3,42,-3,-42,-5
4,349,-3,-6,-5,4,-3,0,-3,-31,-5
5,398,-3,-23,-5,2,-3,-39,-3,-11,-5
6,407,-3,-48,-5,-1,-3,-54,-3,8,-5
7,437,-3,-71,-5,-4,-3,-76,-3,18,-5
8,479,-3,-74,-5,-2,-3,-94,-3,20,-5
9,481,-3,-63,-5,1,-3,-70,-3,18,-5
10,467,-3,-52,-5,-8,-3,-41,-3,7,-5
11,524,-3,-48,-5,-14,-3,-62,-3,0,-5
12,451,-3,-48,-5,-30,-3,-30,-3,33,-5
