,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,83,0,71,-3,10,-1,-12,-1,-34,-3
2,118,0,62,-3,30,-1,-42,-1,-41,-3
3,114,0,71,-3,32,-1,-1,-1,-27,-3
4,110,0,78,-3,41,-1,12,-1,-23,-3
5,100,0,83,-3,48,-1,63,-1,-36,-3
6,98,0,76,-3,59,-1,73,-1,-65,-3
7,95,0,81,-3,66,-1,81,-1,-79,-3
8,84,0,69,-3,50,-1,135,-1,-94,-3
9,80,0,42,-3,47,-1,123,-1,-91,-3
10,69,0,29,-3,32,-1,154,-1,-100,-3
11,66,0,6,-3,40,-1,126,-1,-84,-3
12,40,0,-52,-3,-10,-1,148,-1,-5,-3
