,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,32,0,-76,-3,-26,-2,95,-1,-92,-3
2,15,0,-33,-3,-124,-2,69,-1,-52,-3
3,19,0,-33,-3,-80,-2,47,-1,-47,-3
4,24,0,-28,-3,-121,-2,23,-1,-40,-3
5,30,0,-24,-3,-161,-2,-3,-1,-27,-3
6,35,0,-6,-3,-209,-2,-27,-1,-15,-3
7,41,0,8,-3,-205,-2,-34,-1,-6,-3
8,46,0,15,-3,-203,-2,-36,-1,1,-3
9,57,0,9,-3,-166,-2,-65,-1,15,-3
10,70,0,10,-3,-126,-2,-101,-1,45,-3
11,83,0,25,-3,-76,-2,-103,-1,40,-3
12,116,0,35,-3,-81,-2,-112,-1,-44,-3
