,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,62,-2,-63,-5,-9,-3,-36,-3,-7,-5
2,67,-2,-83,-5,0,-3,2,-3,-7,-5
3,63,-2,-93,-5,-1,-3,-2,-3,13,-5
4,57,-2,-96,-5,1,-3,-8,-3,24,-5
5,53,-2,-104,-5,7,-3,-17,-3,27,-5
6,49,-2,-111,-5,6,-3,-20,-3,37,-5
7,44,-2,-109,-5,2,-3,-16,-3,39,-5
8,45,-2,-92,-5,-5,-3,-40,-3,35,-5
9,41,-2,-79,-5,-4,-3,-24,-3,29,-5
10,38,-2,-70,-5,-9,-3,-14,-3,11,-5
11,32,-2,-57,-5,-15,-3,-10,-3,5,-5
12,19,-2,-7,-5,-5,-3,42,-3,15,-5
