,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,165,-2,92,-4,-4,-2,-28,-4,22,-4
2,-5,-2,38,-4,0,-2,42,-4,-18,-4
3,-22,-2,10,-4,6,-2,37,-4,-15,-4
4,50,-2,-11,-4,2,-2,-22,-4,-14,-4
5,23,-2,-22,-4,-1,-2,-28,-4,-3,-4
6,12,-2,-27,-4,4,-2,-27,-4,-7,-4
7,-31,-2,22,-4,19,-2,13,-4,-34,-4
8,10,-2,-4,-4,16,-2,1,-4,-47,-4
9,65,-2,-29,-4,13,-2,-19,-4,-40,-4
10,32,-2,2,-4,-4,-2,-19,-4,-9,-4
11,207,-2,81,-4,31,-2,-134,-4,30,-4
12,119,-2,4,-4,25,-2,-22,-4,50,-4
