,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,89,-1,-18,-3,-3,-1,77,-1,-113,-3
2,87,-1,-7,-3,-12,-1,-1,-1,-25,-3
3,62,-1,0,-3,-2,-1,13,-1,-35,-3
4,93,-1,12,-3,1,-1,6,-1,-48,-3
5,89,-1,14,-3,4,-1,18,-1,-54,-3
6,107,-1,30,-3,4,-1,25,-1,-70,-3
7,90,-1,47,-3,1,-1,63,-1,-88,-3
8,98,-1,54,-3,-9,-1,85,-1,-119,-3
9,75,-1,28,-3,-23,-1,103,-1,-136,-3
10,86,-1,-18,-3,-31,-1,95,-1,-133,-3
11,65,-1,-34,-3,-48,-1,107,-1,-123,-3
12,146,-1,-9,-3,-72,-1,101,-1,-160,-3
