,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,32,0,98,-3,-24,-1,190,-1,40,-3
2,56,0,129,-3,-34,-1,286,-1,13,-3
3,67,0,168,-3,-39,-1,403,-1,-9,-3
4,81,0,195,-3,-61,-1,469,-1,-18,-3
5,88,0,237,-3,-90,-1,528,-1,-15,-3
6,96,0,265,-3,-102,-1,562,-1,-37,-3
7,106,0,283,-3,-105,-1,566,-1,-33,-3
8,92,0,246,-3,-106,-1,651,-1,-14,-3
9,83,0,192,-3,-104,-1,648,-1,14,-3
10,67,0,187,-3,-93,-1,628,-1,55,-3
11,38,0,168,-3,-85,-1,629,-1,59,-3
12,8,0,35,-3,-92,-1,469,-1,129,-3
