,I,I_sf,A,A_sf,S,S_sf,H,H_sf,W,W_sf
1,-85,-2,15,-4,4,-2,23,-2,-8,-4
2,-48,-2,-5,-4,6,-2,9,-2,0,-4
3,-28,-2,-17,-4,0,-2,-12,-2,9,-4
4,-32,-2,-18,-4,-1,-2,-12,-2,13,-4
5,-34,-2,-19,-4,-2,-2,-6,-2,4,-4
6,-23,-2,-13,-4,-2,-2,-8,-2,-2,-4
7,-43,-2,-3,-4,-4,-2,10,-2,-7,-4
8,-67,-2,-3,-4,-5,-2,26,-2,-7,-4
9,-55,-2,-12,-4,-4,-2,7,-2,-1,-4
10,-2,-2,-18,-4,-9,-2,-37,-2,19,-4
11,-53,-2,-29,-4,-22,-2,-14,-2,38,-4
12,-140,-2,65,-4,27,-2,-7,-2,-25,-4
